-philia	['-philie']
Argentinian	['argentinisch', 'Argentinierin', 'Argentinier']
Ukrainian SSR	['Ukrainische SSR']
newton metre	['Newtonmeter']
master of ceremonies	['Moderator', 'Ansager', 'Zeremonienmeister', 'Conférencier', 'Showmaster']
catch sight of	['wahrnehmen']
internet	['']
self-serving	['selbstsüchtig', 'egoistisch', 'eigennützig']
palaeoclimatology	['Paläoklimatologie']
Plato	['Platon']
extrapolate	['extrapolieren']
delineate	['schildern', 'skizzieren', 'umreißen', 'abgrenzen']
let loose	['loslassen']
dolphin	['Delphin', 'Dalbe', 'Delfin']
Ivory Coast	['']
bluefish	['Blaufisch']
jet ski	['Wassermotorrad']
encompass	['enthalten', 'umschließen', 'beinhalten', 'umgeben', 'umfassen', 'abdecken', 'einschließen']
practice makes perfect	['Übung macht den Meister']
detail	['detaillisieren', 'Einzelheit', 'Detail']
early	['frühzeitig', 'früh', 'verfrüht']
eclipse	['Sonnenfinsternis', 'Verdunklung', 'Mondfinsternis', 'Finsternis', 'Eklipse']
shun	['flüchten', 'ausweichen', 'aus dem Weg gehen', 'meiden']
bisexual	['', 'bi', 'zweigeschlechtlich', 'bisexuell', 'Bisexueller', 'Bisexuelle']
anguish	['Agonie', 'Todesangst', 'Kreuz']
attributive adjective	['attributive Adjektiv']
enigmatic	['rätselhaft']
morpho-syntax	['Morphosyntax']
basic research	['Grundlagenforschung']
flower garden	['Blumengarten', 'Ziergarten']
marker interface pattern	['Markierungsschnittstelle']
modular	['modular']
colonoscopy	['Koloskopie']
interdisciplinary	['interdisziplinär']
when life gives you lemons, make lemonade	['mach Limonade draus', 'wenn das Leben dir eine Zitrone gibt', 'wenn dir das Leben eine Zitrone gibt']
grenade launcher	['Granatwerfer']
Irish	['Irin', 'Irisch-Gälisch', 'irländisch', 'irisch', 'Gälisch', 'Irisch', 'Ire']
zoonosis	['Zoonose']
spit roast	['Spießgrillen']
standardized	['standardisiert']
ICAO	['IZLO']
brooklet	['Bächlein']
spire	['Turmspitze', 'Turmhelm']
wild strawberry	['Walderdbeere']
skin cancer	['Hautkrebs']
lengthening	['Längung']
investment	['Investition']
firewall	['Brandmauer', 'Firewall  rarely', 'Brandwand']
frankfurter	['Würstchen']
spindly	['dürr']
table wine	['Tafelwein']
cunnilingus	['Cunnilingus']
Cantonese	['kantonesisch', 'Kantonese', 'Kantonesisch', 'Kantonesin']
penis envy	['Penisneid']
companionship	['Kameradschaft']
all cats are grey in the dark	['nachts sind alle Katzen grau']
apparatus	['Apparat']
altar	['Altar']
syndication	['Weiterverbreitung von medialen Inhalten', 'simultane Verbreitung von Inhalten', 'Verkauf von Inhalt', 'Syndikation', 'Weitergabe von medialen Inhalten']
Cambodian	['', 'kambodschanisch', 'Kambodschaner', 'Kambodschanerin']
Nina	['Nina']
evocative	['atmosphärisch', 'wachrufend', 'heraufbeschwörend', 'sinnträchtig', 'hervorrufend', 'evokativ']
Cupid's bow	['Kupidobogen', 'Amorbogen']
trigger finger	['']
demarcate	['abgrenzen']
non-commissioned officer	['Unteroffizier']
in time	['mit der Zeit', 'Im Takt', 'rechtzeitig', 'im Takt']
free morpheme	['freies Morphem']
American badger	['Silberdachs']
-th	['-te', '-ter', '-tes']
Austrian German	['Österreichisches Deutsch']
prosopographic	['prosopografisch']
sharing	['Teilung', 'Aufteilung']
canola	['Rübsen', 'Raps']
vert	['Grün', 'grün']
iron	['bügeln', '', 'eisern', 'Eisen', 'Bügeleisen']
eight o'clock	['acht Uhr', 'zwanzig Uhr']
liquorice	['']
double star	['Doppelstern']
guilder	['Gulden']
price index	['Preisindex']
underline	['Unterstrich', 'unterstreichen', 'Unterstreichung']
gumball	['Kaugummikugel']
prismatoid	['Prismatoid']
honey-sweet	['honigsüß']
direct current	['Gleichstrom']
reception	['Empfang', 'Rezeption', 'Aufnahme']
Yule	['Julfest']
German-Canadian	['deutschsprechend kanadisch', 'deutsch-kanadisch', 'deutschkanadisch', 'deutschsprachig kanadisch']
herbivorous	['pflanzenfressend']
photodiode	['Fotodiode']
save face	['das Gesicht wahren']
Republic of Albania	['Republik Albanien']
mansion	['Herrenhaus', 'Villa', 'Anwesen']
Selkup	['Selkupisch', 'Selkupen']
Telugu	['Telugu']
occultistic	['okkultistisch']
part of speech	['Redeteil', 'Sprachteil', 'Wortart']
Capernaum	['Kafarnaum']
dysmorphia	['Dysmorphophobie']
deoxyribonucleic acid	['Desoxyribonukleinsäure']
islander	['Insulanerin', 'Insulaner ;  Inselbewohnerin', 'Inselbewohner']
toothpick	['Zahnstocher']
great circle	['Großkreis']
chemistry	['Chemie']
flak	['Flugzeugabwehrkanone']
trolley	['Karren', 'Einkaufswagen']
alphabetism	['Alphabetismus']
flannel	['', 'Flanell']
I have asthma	['ich habe Asthma']
factorial prime	['Fakultätsprimzahl']
hangman's noose	['Henkersknoten']
lamella	['']
shallop	['Schaluppe']
dental alveolus	['']
disappointing	['enttäuschend']
utopia	['Utopie']
square centimeter	['Quadratzentimeter']
Achaean	['Achäer']
dogwood	['Hartriegel']
decadent	['dekadent']
floating wood tile	['']
bugle	['Bügelhorn']
despondency	['Niedergeschlagenheit', 'Mutlosigkeit', 'Verzagtheit']
copybook	['']
fox terrier	['Glatthaarfox', 'Glatthaar-Foxterrier', 'Drahthaarfox', 'Drahthaar-Foxterrier', 'Foxterrier']
alterity	['Alterität']
placarder	['Plakatierer', 'Plakateur', 'Plakatiererin']
hash	['grob entwerfen', 'Durcheinander', 'Rautenzeichen', 'Gehacktes', 'Doppelkreuz', 'Hash', 'Lattenkreuz', 'hacken', 'Gartenzaun', 'Haschee', 'Raute', 'Nummernzeichen', 'Hasch', 'Faschiertes', 'zerhacken', 'Hackfleisch']
intelligibility	['Verständlichkeit']
decennium	['Dezennium']
psoriasis	['Schuppenflechte']
anomaly	['Anomalie']
Oklahoma	['Oklahoma']
cheerio	['tschüss', 'hallo']
birds of a feather flock together	['Gleich und Gleich gesellt sich gern']
women's shelter	['Frauenhaus']
displacement speed	['']
walking stick	['', 'vierfüßiger Gehstock', 'Krückstock', 'Gehstock', 'Spazierstock']
tight	['', 'eng', 'tight']
messianic	['messianisch', 'Messianisch']
outbid	['überbieten']
claystone	['Tonstein']
Sevortyan	['Sewortjan']
capercaillie	['Auerhuhn']
coefficient of thermal expansion	['Wärmeausdehnungskoeffizient']
zeta	['Zeta']
anxious	['besorgt', 'ängstlich']
Wagner	['Wagner']
squeamish	['empfindlich', 'zimperlich']
dust	['ein Sandbad nehmen', 'sandbaden', 'Staub', 'entstauben', 'bestauben', 'pudern']
bode	['verheißen', 'sich ankündigen', 'ahnen lassen']
take down	['herunter lassen', 'herunter nehmen', 'niederschreiben']
diplomatist	['']
reservoir	['Stausee', 'Reservoir']
carbuncle	['Karfunkel', 'Karbunkel']
paranoiac	['', 'paranoisch']
legacy	['Vermächtnis', 'altmodisch', 'tradiert', 'veraltet', 'vererbt', 'Wirken', 'Erbschaft', 'Erbe', 'Nachlass', 'Hinterlassenschaft', 'hinterlassen', 'überkommen', 'Alt-']
one for all, all for one	['alle für einen', 'einer für alle']
Monoceros	['Einhorn']
world	['Erde', 'Welt']
triumphant	['triumphierend']
Great Pyramid at Giza	['']
word search	['Wörtersuchspiel']
thrip	['']
endanger	['gefährden']
wrinkle-free	['faltenlos', 'faltenfrei']
Zimbabwe	['Simbabwe']
par excellence	['par excellence']
ancient	['uralt', 'alt', 'antik']
abaka	['']
venison	['from red deer: Wildfleisch', 'from red deer: Wildbret', 'Rehfleisch']
frogmouth	['Eulenschwalme']
Alexandra	['Alexandra']
rectangular	['rechtwinklig', 'rechteckig', 'rechtwinkelig']
old	['alt']
throw in the towel	['die Flinte ins Korn werfen', 'das Handtuch werfen']
chaos theory	['Chaosforschung', 'Chaostheorie']
heterosexism	['Heterosexismus']
Melissa	['Melissa']
vituperate	['ausschimpfen', 'schelten', 'tadeln', 'beschimpfen', 'verunglimpfen', 'stänkern', 'schmähen']
Simone	['Simone']
powers that be	['die zuständigen Stellen; die da oben']
minor third	['kleine Terz']
fierce	['wild', 'bedrohlich']
break through	['Durchbruch']
dulcour	['']
Caucasian	['kaukasisch', 'Kaukasier', 'Weißer', 'Kaukasierin', 'Europide', 'Weiße']
achoo	['hatzi', 'hatschi']
end zone	['Endzone']
Lycia	['Lykien']
undisclosed	['versteckt', 'geheim', 'still']
if you can't beat them, join them	['man muss mit den Wölfen heulen']
reported speech	['indirekte Rede']
calm	['ruhig stellen', 'windstill', 'ruhig', 'Windstille', 'Ruhe', 'beruhigen']
red	['rothaarig', 'Roter m indef.', 'rot', 'Rote', 'Rot']
CAPTCHA	['CAPTCHA']
Geoffrey	['Gottfried']
waitlist	['']
migration	['Vogelstrich', 'Wanderung', 'Vogelwanderung', 'Wohnsitzwechsel', 'Vogelzug', 'Tierwanderung', 'Migration']
disaster	['Desaster']
template	['Schablone', 'Vorlage']
outer	['äußer', 'äußere']
memoization	['Memoisation']
as usual	['wie üblich', 'wie gewöhnlich']
Icelander	['Isländer', 'Isländerin']
boyish	['jungenhaft', 'knabenhaft']
fortochka	['Kämpferfenster', 'Klappfenster']
spiteful	['boshaft', 'gehässig']
ruminant	['wiederkäuend', 'Wiederkäuer']
joist	['Balken', 'Querbalken']
Scientologist	['Scientologin', 'Scientologe']
Mogilev	['Mogilew', 'Mahiljou', 'Mogiljow']
arranged marriage	['arrangierte Ehe']
munificence	['Freigebigkeit', 'Großzügigkeit']
Buddhism	['Buddhismus']
forehold	['vorderer Laderaum']
Carina	['Schiffskiel']
Assyriological	['assyriologisch']
local variable	['lokale Variable']
ricefield	['']
ineffectual	['sinnlos', 'vergeblich', 'nachgiebig', 'schwach', 'fruchtlos', 'untauglich', 'unwirksam', 'nicht durchsetzungsfähig', 'vergebens', 'wirkungslos', 'ineffektiv', 'nutzlos', 'halbherzig']
billfold	['']
radio-	['funk-', 'radio-']
cobelligerent	['Verbündeter', 'Verbündete', 'Kriegsverbündeter']
Second French Empire	['Zweites Kaiserreich']
indomitable	['unbezähmbar', 'unerschütterlich', 'unbeugsam']
synchronization	['Synchronisierung']
diaspora	['Diaspora']
Yassy	['Jassy ; Jassenmarkt']
halo	['Halo', 'Heiligenschein']
mayfly	['Eintagsfliege']
futurology	['Futurologie']
strike while the iron is hot	['man muss das Eisen schmieden', 'solange es heiß ist']
swanherd	['Schwanenwärter', 'Schwanenhirte', 'Schwanenhirtin', 'Schwanenwärterin', 'Schwanenhirt']
home country	['Vaterland', 'Heimat', 'Heimatland']
gimmick	['Kunstgriff', 'Gag', 'Kniff', 'Aufhänger', 'Trick']
filibuster	['Freibeuter', 'filibustern']
highbrow	['inspiriert', 'anspruchsvoll', 'geistreich', 'Intellektueller', 'hochgeistig', 'geistvoll', 'Intellektuelle', 'intellektuell']
alburnum	['']
on earth	['in Gottes Namen', 'um alles in der Welt', 'in aller Welt', 'in Herrgotts Namen', 'um Himmels willen']
precise	['präzise', 'genau', 'exakt']
carnival	['Karneval', 'Fasching', 'Fastnacht']
stompie	['']
Frank	['Franke', 'Frank']
knocker	['']
death march	['Todesmarsch']
model-view-presenter	['Model-View-Presenter']
Dennis	['Dennis', 'Denis']
